"","ID","PostScore","PreScore"
"1","4219",8,8
"2","4224",9,2
"3","4229",9,8
"4","4230",13,7
"5","4232",13,7
"6","4235",9.5,5
"7","4236",8,8
"8","4240",6,2
"9","4241",15,11
"10","4242",5,10
"11","4243",11,13
"12","4244",6.5,5
"13","4245",10,16
"14","4246",15,12
"15","4247",14,7
"16","4248",11.5,9
"17","4249",14,11
"18","4251",3,3
"19","4254",9,3
"20","4257",12,7
"21","4258",9,12
"22","4259",12,7
"23","4260",11.5,10
"24","4261",15,15
"25","4264",15,14
"26","4267",11,8
"27","4268",12,11
"28","4269",6.5,6
"29","4271",15,14
"30","4272",11,14
"31","4273",14,15
"32","4275",12,13
"33","4276",14,16
"34","4277",12.5,9
"35","4278",13,10
"36","4279",14.5,13
"37","4281",15,16
"38","4283",6,5
"39","4284",7,8
"40","4285",13,12
"41","4286",12,12
"42","4287",9,6
"43","4288",14,13
"44","4289",8.5,4
"45","4290",15,15
"46","4291",15,9
"47","4293",7,6
"48","4294",9.5,2
"49","4295",16,13
"50","4297",6,4
"51","4299",7,2
"52","4300",4.5,3
"53","4301",7,9
"54","4302",12,2
"55","4304",10,8
"56","4305",7,6
"57","4309",15,9
"58","4310",9,6
"59","4313",12,10
"60","4314",12,7
"61","4315",12,11
"62","4316",6.5,7
"63","4318",4.5,6
"64","4319",7,6
"65","4321",5.5,5
"66","4322",14,4
"67","4324",14.5,14
"68","4326",10,5
"69","4327",15,13
"70","4328",16,15
"71","4334",10,11
"72","4335",4.5,11
"73","4339",12,8
"74","4341",14,12
"75","4342",16,14
"76","4343",8,4
"77","4344",13.5,13
"78","4347",16,14
"79","4348",8,8
"80","4350",16,11
"81","4352",1,15
"82","4353",9,9
"83","4355",14.5,15
"84","4356",10,11
"85","4357",6,7
"86","4359",16,16
"87","4360",7,8
"88","4362",12,10
"89","4363",15,16
"90","4364",14,15
"91","4367",16,16
"92","4371",8,10
"93","4372",11,7
"94","4373",14,13
"95","4374",16,14
"96","4376",11,10
"97","4379",6.5,7
"98","4380",8,7
"99","4382",7.5,5
"100","4383",5.5,6
"101","4384",14,8
"102","4390",14,11
"103","4391",5.5,6
"104","4394",13,13
"105","4396",10,7
"106","4397",14,6
"107","4400",5.5,4
"108","4404",16,10
"109","4406",5,8
"110","4407",12,6
"111","4408",12,3
"112","4410",11,10
"113","4411",8,8
"114","4413",15,12
"115","4419",9,4
"116","4421",7,1
"117","4423",15,14
"118","4426",13,8
"119","4428",16,16
"120","4429",12,8
"121","4430",14,12
"122","4431",12.5,11
"123","4432",13,10
"124","4433",15,14
"125","4435",14,13
"126","4436",10,12
"127","4437",12.5,7
"128","4440",9,9
"129","4447",12,12
"130","4448",16,15
"131","4449",15,8
"132","4450",12.5,13
"133","4451",12,10
"134","4452",15,11
"135","4453",10,7
"136","4454",12,4
"137","4455",14,8
"138","4456",11,8
"139","4457",5,6
"140","4458",16,14
"141","4459",16,10
"142","4460",14.5,3
"143","4461",13,15
"144","4465",7,8
"145","4467",5,5
"146","4476",9,6
"147","4478",5.5,7
"148","4479",11,8
"149","4482",3.5,7
"150","4485",11.5,5
"151","4488",5,6
"152","4490",1,2
"153","4492",3,4
"154","4494",2,13
"155","4495",7,6
"156","4498",7,6
"157","4499",8,7
"158","4500",14,13
"159","4501",4,4
"160","4502",9.5,8
"161","4503",8.5,5
"162","4505",6,8
"163","4507",16,8
"164","4509",8,3
"165","4513",0,1
"166","4514",8,6
"167","4515",5,4
"168","4517",13,14
"169","4518",9,6
"170","4524",10.5,10
"171","4531",8,5
"172","4533",13,8
"173","4535",6.5,6
"174","4536",7,9
"175","4537",7,10
"176","4540",14,12
"177","4543",8,8
"178","4545",7,6
"179","4546",10.5,15
"180","4549",10,5
"181","4550",4,8
"182","4558",5,5
"183","4559",15,4
"184","4562",5,7
"185","4564",15,13
"186","4566",9,9
"187","4568",8.5,7
"188","4574",5,7
"189","4578",4,7
"190","4585",7.5,10
"191","4586",8,7
"192","4589",15,8
"193","4592",13,11
"194","4598",12,8
"195","4599",10,9
"196","4602",9,4
"197","4606",9,7
"198","4607",14,7
"199","4608",7,4
"200","4609",7,3
"201","4610",4,4
"202","4616",7,3
"203","4617",6,4
"204","4619",8,8
"205","4626",7,8
"206","4627",9.5,6
"207","4656",6.5,5
"208","4668",15,15
"209","4686",8.5,4
"210","4693",3,2
"211","4697",12,5
"212","4702",7.5,7
"213","4704",12,5
"214","4710",8,8
"215","4712",13,9
"216","4716",9,4
"217","4717",12,9
"218","4720",15,7
"219","4722",10,8
"220","4723",15,11
"221","4725",12.5,13
"222","4727",12,4
"223","4730",15,10
"224","4737",6,4
"225","4739",10,8
"226","4740",14,10
"227","4743",6,4
"228","4746",7,5
"229","4748",2.5,8
"230","4750",1,7
"231","4752",2,15
"232","4753",10,3
"233","4754",5,3
"234","4755",5.5,4
"235","4756",5.5,5
"236","4758",12,8
"237","4760",15,5
"238","4761",14,6
"239","4762",6,6
"240","4763",10,7
"241","4764",14,15
"242","4765",12,5
"243","4767",14,12
"244","4768",16,12
"245","4770",9,8
"246","4771",5,7
"247","4773",7,2
"248","4775",8,4
"249","4777",15,7
"250","4778",7,7
"251","4779",15,7
"252","4780",15,14
"253","4781",14,15
"254","4782",11,7
"255","4783",8,7
"256","4784",13.5,10
"257","4785",14,15
"258","4786",14.5,11
"259","4787",12.5,2
"260","4789",16,12
"261","4795",15,15
"262","4799",8,4
"263","4801",5.5,7
"264","4802",15,14
"265","4803",14,14
"266","4805",5.5,5
"267","4806",10.5,13
"268","4807",8,10
"269","4813",13,11
"270","4815",5.5,8
"271","4816",4,6
"272","4817",6,6
"273","4819",5,4
"274","4821",6,7
"275","4822",7,7
"276","4824",13,2
"277","4825",3,4
"278","4826",13,7
"279","4828",13,14
"280","4829",9,8
"281","4830",14.5,13
"282","4831",10,8
"283","4832",4.5,3
"284","4833",4,5
"285","4836",16,12
"286","4838",10,9
"287","4839",7.5,8
"288","4845",7,8
"289","4846",15,15
"290","4848",15,7
"291","4850",7,2
"292","4855",13,9
"293","4860",5.5,4
"294","4861",10.5,7
"295","4862",13.5,12
"296","4863",13,9
"297","4868",7,9
"298","4869",16,15
"299","4870",13,7
"300","4871",9.5,4
"301","4874",8,6
"302","4878",14,15
"303","4879",15,14
"304","4880",16,11
"305","4884",15,15
"306","4885",16,14
"307","4886",13,8
"308","4887",12,11
"309","4888",12,14
"310","4896",16,16
"311","4897",15,15
"312","4898",14,12
"313","4900",16,14
"314","4901",15,14
"315","4902",13,10
"316","4903",9,6
"317","4904",16,16
"318","4906",13,12
"319","4907",8,5
"320","4908",15,16
"321","4909",15,16
"322","4910",11,10
"323","4911",16,16
"324","4912",14,13
"325","4913",15,9
"326","4914",14,14
"327","4917",12,15
"328","4919",16,12
"329","4920",9,7
"330","4920",9,0
"331","4921",11,7
"332","4922",12.5,11
"333","4926",14,13
"334","4927",16,13
"335","4928",14.5,13
"336","4929",5,7
"337","4930",11,6
"338","4931",14,15
"339","4932",11.5,12
"340","4933",7.5,6
"341","4934",14,13
"342","4935",14,13
"343","4936",14,13
"344","4937",14,10
"345","4941",12,13
"346","4942",15,9
"347","4943",14,14
"348","4946",13.5,15
"349","4947",10,10
"350","4948",10,10
"351","4950",13,13
"352","4952",10.5,12
"353","4954",14,14
"354","4956",14,12
"355","4957",13,12
"356","45710",7.5,4
"357","45719",2,4
"358","4279F",12,11
"359","4281F",3,8
"360","4293F",7,5
"361","4294F",14,8
"362","4755B",9,6
"363","4756B",15,15
